Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=1.541e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.186711e-05 | ‖ω‖₁=1.005943e+00
  λ=1.541e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.537104e-06 | ‖ω‖₁=9.881726e-01
  λ=1.541e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=7.974073e-06 | ‖ω‖₁=9.720623e-01
  λ=1.541e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.830722e-06 | ‖ω‖₁=9.565588e-01
  λ=1.541e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=6.704853e-06 | ‖ω‖₁=9.420000e-01
  λ=1.541e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=6.120129e-06 | ‖ω‖₁=9.281826e-01
  λ=1.541e-03 | Epoch  80 | Recon MSE=6.120129e-06 | ‖ω‖₁=9.281826e-01
  → at λ=1.541e-03:  r(λ)=127, rel_err=4.244775e-03

-- Path iteration 17, λ = 1.849e-03   (r(λ) prev = 127)
  λ=1.849e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.696604e-02 | ‖ω‖₁=1.097681e+00
  λ=1.849e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.418999e-05 | ‖ω‖₁=1.048908e+00
  λ=1.849e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.346913e-05 | ‖ω‖₁=1.026938e+00
  λ=1.849e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.682126e-06 | ‖ω‖₁=1.006903e+00
  λ=1.849e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.401380e-06 | ‖ω‖₁=9.847547e-01
  λ=1.849e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.483061e-06 | ‖ω‖₁=9.648154e-01
  λ=1.849e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.078832e-06 | ‖ω‖₁=9.468015e-01
  λ=1.849e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=5.048049e-06 | ‖ω‖₁=9.302258e-01
  λ=1.849e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.755687e-06 | ‖ω‖₁=9.146367e-01
  λ=1.849e-03 | Epoch  80 | Recon MSE=4.755687e-06 | ‖ω‖₁=9.146367e-01
  → at λ=1.849e-03:  r(λ)=127, rel_err=2.504924e-03

-- Path iteration 18, λ = 2.219e-03   (r(λ) prev = 127)
  λ=2.219e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.579276e-02 | ‖ω‖₁=1.095875e+00
  λ=2.219e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.523089e-05 | ‖ω‖₁=1.041693e+00
  λ=2.219e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.571492e-05 | ‖ω‖₁=1.009799e+00
  λ=2.219e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.085712e-05 | ‖ω‖₁=9.868767e-01
